seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,barometer_relativeAltitude,barometer_pressure,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,GIS_Elevation,Temperature (°C),Humidity (%),Cloud Cover (%),Wind Speed (km/h)
0.2,0.813525617,-0.782287121,-0.177333936,-1.596323729,9.671861172,0.277459279,-0.011942406,0.040622508,-0.027794348,-0.424478188,-0.516542077,0.56086877,0.488290891,-2.96948123,-1.404814601,-1.507250905,2.775000095,-47.73750305,-34.03125,144.5155787,-0.110977173,996.6378784,-0.693320364,9.144769907,0.236291234,-7.650000095,-63.22500229,-49.33125305,-0.0194255,0.042760535,-0.02687805,-0.693320364,9.144769907,0.236291234,19.80447412,32,83,18,21
0.21,0.704232246,-0.686308384,-0.219529502,-1.560451031,9.677997589,0.267601386,-0.032223117,0.02489274,0.045814858,-0.426071927,-0.51591292,0.559816331,0.488775149,-2.97176671,-1.408641875,-1.507979512,2.8125,-46.18125153,-33.52500153,144.0224523,,,-0.865244663,9.248259544,-0.037328035,-7.612500191,-61.65000153,-48.82500076,-0.039706211,0.027030767,0.046731156,-0.865244663,9.248259544,-0.037328035,19.78557975,32,83,18,21
0.22,0.049699962,-0.447886467,-0.828722,-1.553880334,9.680128098,0.225390747,-0.033444846,0.002993237,0.040378161,-0.428795204,-0.516251177,0.559205174,0.486732483,-2.997550368,-1.409988642,-1.528015554,6.243750095,-48.07500076,-34.91250229,144.0125063,,,-1.648654795,9.385607529,-0.633140862,-4.200000286,-63.56250381,-50.21250153,-0.04092794,0.005131264,0.041294459,-1.648654795,9.385607529,-0.633140862,19.79168579,32,83,18,21
0.23,-0.163365185,-0.350001335,-0.652637705,-1.569790006,9.678431511,0.184632547,0.016523893,-0.018997894,0.015332706,-0.429011092,-0.514981747,0.561097831,0.485708132,-3.024518371,-1.408911943,-1.556918621,3.450000048,-47.71875,-35.32500076,143.4883767,,,-1.668993801,9.233902693,-0.445065006,-6.993750095,-63.18750381,-50.62500381,0.009040799,-0.016859868,0.016249003,-1.668993801,9.233902693,-0.445065006,19.79465447,32,83,18,21
0.24,-0.571655869,-0.602973938,-0.06391269,-1.583697438,9.676253319,0.180040196,0.031154103,0.034972008,-0.041538805,-0.427600205,-0.513818741,0.562793374,0.486222148,-3.028395176,-1.407539368,-1.565607309,2.268750191,-45.46875,-33.24375153,143.8281908,-0.100402832,996.6364136,-2.023849368,9.265009117,0.278045991,-8.175000191,-60.95625305,-48.54375076,0.023671011,0.037110035,-0.040622508,-2.023849368,9.265009117,0.278045991,19.7982428,32,83,18,21
0.25,-0.216908514,-0.237143993,0.244676605,-1.588717341,9.675271034,0.188400686,-0.034055712,0.028527385,-0.068722288,-0.427429304,-0.51437223,0.562514305,0.48610875,-3.023557663,-1.406924784,-1.559993982,7.875000477,-46.42500305,-34.06875229,143.7271061,,,-1.353859055,9.379864883,0.242632212,-2.568750143,-61.89375305,-49.36875153,-0.041538805,0.030665411,-0.06780599,-1.353859055,9.379864883,0.242632212,19.81140704,32,83,18,21
0.26,0.446357846,-0.425793171,-0.276810534,-1.572118402,9.678113937,0.181409039,-0.011148283,0.034666576,-3.05E-04,-0.429261193,-0.515207142,0.560996681,0.485364631,-3.026714444,-1.408711851,-1.558191538,5.081250191,-47.23125076,-36.05625153,142.6419512,,,-1.168295637,8.940781593,-0.2949154,-5.362500191,-62.70000076,-51.35625076,-0.018631376,0.036804603,6.11E-04,-1.168295637,8.940781593,-0.2949154,19.78798695,32,83,18,21
0.27,0.249243528,-0.242069244,-0.268141016,-1.559706211,9.680369377,0.167730585,0.013713914,0.014844015,0.016432263,-0.430450112,-0.515131325,0.560501993,0.48496367,-3.034463167,-1.410143316,-1.563916326,3.150000095,-47.71875,-35.30625153,143.5029221,,,-1.479242945,9.419585609,-0.025363921,-7.293750286,-63.18750381,-50.60625076,0.006230821,0.016982041,0.017348559,-1.479242945,9.419585609,-0.025363921,19.80056938,32,83,18,21
0.28,0.048902035,-0.149185181,-0.212670743,-1.560260594,9.680454731,0.157314681,-0.025625778,-0.019120068,0.002626719,-0.431051999,-0.515253961,0.560414314,0.484399125,-3.041105747,-1.410197616,-1.569175839,6.937500477,-44.88750076,-32.25,144.3041598,-0.092483521,996.6355591,-1.484028625,9.396614647,-0.093320084,-3.506250143,-60.35625076,-47.55000305,-0.033108871,-0.016982041,0.003543016,-1.484028625,9.396614647,-0.093320084,19.80369658,32,83,18,21
0.29,0.122185946,0.078114033,-0.016303599,-1.558914602,9.680796623,0.149495661,-0.025503604,0.00641408,0.034361144,-0.432109296,-0.515953422,0.55970937,0.483527705,-3.045987606,-1.410415411,-1.570708573,4.931250095,-45.09375,-33.09375,143.7255114,,,-1.438684613,9.912865877,0.285344094,-5.512500286,-60.58125305,-48.39375305,-0.032986698,0.008552107,0.035277441,-1.438684613,9.912865877,0.285344094,19.78185802,32,83,18,21
0.3,-0.021846294,0.561438084,0.636587769,-1.557875156,9.680692196,0.165965833,-0.027580545,0.008246675,0.009590577,-0.431026667,-0.515598536,0.559988916,0.484547645,-3.035455942,-1.410349011,-1.562926352,2.362500191,-47.40000153,-32.55000305,145.5222671,,,-1.572084475,10.1934248,0.827916628,-8.0625,-62.88750076,-47.85000229,-0.035063639,0.010384701,0.010506874,-1.572084475,10.1934248,0.827916628,19.80430179,32,83,18,21
0.31,0.028999686,-0.374126434,0.352047205,-1.554460526,9.680991173,0.180134133,-0.023304491,0.029871288,-0.020952662,-0.430434734,-0.515553534,0.559874952,0.485253036,-3.026224852,-1.410539389,-1.554928541,3.543750048,-46.3125,-32.73750305,144.7441721,,,-1.520399487,10.10488987,0.574756002,-6.900000095,-61.80000305,-48.03750229,-0.030787584,0.032009315,-0.020036365,-1.520399487,10.10488987,0.574756002,19.78682096,32,83,18,21
0.32,-0.252057076,0.111046791,0.109936103,-1.555864692,9.680659771,0.185588136,0.009926553,-0.006872229,-0.010079269,-0.430194095,-0.515665531,0.559835583,0.485392526,-3.022863626,-1.410329521,-1.551797926,4.59375,-46.20000076,-31.63125038,145.6021534,-0.092483521,996.6355591,-1.620539159,9.500104189,0.018544375,-5.850000381,-61.68750381,-46.93125153,0.002443459,-0.004734203,-0.009162972,-1.620539159,9.500104189,0.018544375,19.78260206,32,83,18,21
0.33,-0.327829897,-0.312214375,-0.013455242,-1.564778566,9.67923975,0.184656836,0.008460478,0.019120067,-0.030237807,-0.429406703,-0.515174299,0.5606924,0.485620826,-3.024124622,-1.409426987,-1.555437446,2.34375,-47.88750076,-34.63125229,144.1263224,,,-1.937707782,9.388478947,0.370408936,-8.100000381,-63.37500381,-49.93125153,9.77E-04,0.021258095,-0.029321509,-1.937707782,9.388478947,0.370408936,19.81795542,32,83,18,21
0.34,-0.10203594,0.098222733,0.249703854,-1.563624501,9.679308414,0.190945588,-0.032833983,0.005558869,-0.109894571,-0.428320289,-0.51422438,0.561511576,0.486640126,-3.020076513,-1.409467459,-1.555281281,1.40625,-45.86250305,-31.38750076,145.612939,,,-1.451007682,9.475577831,0.112941226,-9.037500381,-61.33125305,-46.6875,-0.040317075,0.007696896,-0.108978278,-1.451007682,9.475577831,0.112941226,19.81862528,32,83,18,21
0.35,0.389124393,-0.11420393,-0.59334299,-1.545665324,9.682403564,0.179831453,0.039248063,-0.021074834,-0.068111423,-0.429290712,-0.513751835,0.561129242,0.486726105,-3.025770307,-1.411444545,-1.560168922,5.475000381,-46.125,-30.61875153,146.4229511,,,-1.350748375,9.020941257,-0.714855757,-4.96875,-61.61250305,-45.91875076,0.031764969,-0.018936809,-0.067195125,-1.350748375,9.020941257,-0.714855757,19.81233589,32,83,18,21
0.36,0.169381559,-0.277211666,-0.658345282,-1.535320401,9.684345245,0.163153604,0.090560706,-0.00555887,-0.042210755,-0.430452988,-0.513579786,0.560816675,0.486241356,-3.035722375,-1.412697554,-1.568320096,3.937500238,-49.65000153,-35.40000153,144.5114747,-0.08454895,996.6344604,-1.513221049,9.250173759,-0.353659192,-6.487500191,-65.13750458,-50.70000076,0.083077611,-0.003420843,-0.04129446,-1.513221049,9.250173759,-0.353659192,19.79218455,32,83,18,21
0.37,-0.099394023,-0.738899708,-0.079106756,-1.537764192,9.683979511,0.161923289,0.041447175,0.040500334,-0.057482376,-0.42961818,-0.512674391,0.561755359,0.486851156,-3.036681056,-1.412460089,-1.57258302,1.425000072,-45.09375,-33.67500305,143.2484479,,,-1.534995735,9.063413858,0.177068878,-9.018750191,-60.58125305,-48.97500229,0.033964082,0.042638361,-0.056566078,-1.534995735,9.063413858,0.177068878,19.78390688,32,83,18,21
0.38,-0.367276907,-0.896677017,-0.100424498,-1.542262077,9.683287621,0.160509706,-0.043829548,0.064293518,-0.049632763,-0.429131269,-0.512267411,0.562330484,0.48704505,-3.037891865,-1.412013292,-1.575466633,4.200000286,-46.96875,-32.13750076,145.6188347,,,-1.63764782,9.036255455,-0.060299127,-6.243750095,-62.45625305,-47.4375,-0.051312641,0.066431545,-0.048716465,-1.63764782,9.036255455,-0.060299127,19.80736932,32,83,18,21
0.39,0.154583633,-0.269694328,-0.556985468,-1.538636625,9.684096813,0.145616941,-0.052626,0.065790135,9.16E-04,-0.4297508,-0.511927128,0.562476009,0.486688212,-3.047237635,-1.412536502,-1.584317386,5.025000095,-44.75625229,-30.97500038,145.3135856,,,-1.361037517,9.456435013,-0.720718193,-5.418750286,-60.24375153,-46.27500153,-0.060109095,0.067928163,0.001832594,-1.361037517,9.456435013,-0.720718193,19.7976061,32,83,18,21
0.4,0.225453675,0.05073452,-0.910047382,-1.534681261,9.685112476,0.116970006,-0.010109812,0.059925835,0.008246675,-0.431014106,-0.511515886,0.562670827,0.485777378,-3.065528631,-1.413195491,-1.601030231,4.893750191,-48.37500381,-34.08750153,144.8295176,-0.036987305,996.6290894,-1.230509043,9.641280651,-0.626919538,-5.53125,-63.86250305,-49.38750076,-0.017592906,0.062063861,0.009162972,-1.230509043,9.641280651,-0.626919538,19.78488153,32,83,18,21
0.41,0.284206808,0.406266689,-0.022588432,-1.524743915,9.686798573,0.107007071,-0.018936808,-0.00122173,-0.009468404,-0.431873202,-0.511407018,0.562319458,0.485536009,-3.071525693,-1.414295375,-1.605673909,3.375000238,-44.56875229,-30.73125076,145.4127818,,,-1.094477093,10.00726318,0.311545508,-7.068750381,-60.03750229,-46.03125,-0.026419902,9.16E-04,-0.008552107,-1.094477093,10.00726318,0.311545508,19.79980708,32,83,18,21
0.42,0.394768834,0.169368744,0.334278017,-1.514515579,9.688314438,0.11481237,-0.005222894,0.005436697,0.05308415,-0.432524562,-0.512072563,0.561248899,0.485493213,-3.065930724,-1.415289581,-1.597633958,6.075000286,-46.42500305,-34.03125,143.7572008,,,-1.264846027,9.78855896,0.44458645,-4.368750095,-61.91250229,-49.33125305,-0.012705988,0.007574723,0.054000445,-1.264846027,9.78855896,0.44458645,19.78137554,32,83,18,21
0.43,-0.246799946,0.370143414,0.207805309,-1.521485448,9.687132359,0.122081228,-0.008246675,0.028557929,0.067195126,-0.432403311,-0.512722045,0.560972571,0.48523511,-3.061526418,-1.414514124,-1.592165649,4.856250286,-46.76250076,-33.31875229,144.5297455,,,-1.931606054,9.95354414,0.253041004,-5.587500095,-62.23125076,-48.61875153,-0.015729768,0.030695955,0.068111425,-1.931606054,9.95354414,0.253041004,19.81637282,32,83,18,21
0.44,-0.630005836,0.451765537,-0.370617531,-1.530734181,9.685733795,0.117382064,-0.004123337,0.04941896,-0.038423394,-0.431423485,-0.511805028,0.562228709,0.485621288,-3.065054655,-1.413599432,-1.599252224,2.15625,-44.41875076,-30.09375191,145.8823173,-0.092483521,996.6356201,-2.131047893,9.987641716,-0.337387996,-8.287500381,-59.90625381,-45.39375305,-0.011606431,0.051556987,-0.037507098,-2.131047893,9.987641716,-0.337387996,19.7903512,32,83,18,21
0.45,0.096950531,0.052150726,-0.82529062,-1.525915146,9.68662262,0.106327921,0.042302386,0.067011866,-0.119668409,-0.432221055,-0.511832476,0.561985373,0.485164851,-3.07202363,-1.414179683,-1.604687095,7.125000477,-46.06875229,-33.20625305,144.2160215,,,-1.359123278,9.697153091,-0.50584271,-3.318750143,-61.55625153,-48.50625229,0.034819292,0.069149893,-0.118752114,-1.359123278,9.697153091,-0.50584271,19.80650089,32,83,18,21
0.46,0.484110296,-0.114747524,-0.455157399,-1.512690067,9.688757896,0.100355119,0.026419901,0.049785479,-0.060628331,-0.432942033,-0.511621118,0.561577678,0.485216767,-3.075351238,-1.415583491,-1.607140183,4.237500191,-47.68125153,-33.16875076,145.1761712,,,-0.378065975,9.847661734,-0.076570325,-6.206250191,-63.16875076,-48.46875381,0.018936809,0.051923507,-0.059712032,-0.378065975,9.847661734,-0.076570325,19.79246844,32,83,18,21
0.47,0.912990451,0.041426659,-0.007805258,-1.489432275,9.692381382,0.098551851,-0.006811142,0.002504546,0.037568184,-0.434158877,-0.511693478,0.560454875,0.485351563,-3.075521827,-1.417990386,-1.605014086,1.293750048,-47.32500076,-33.5625,144.6560487,,,-0.649412072,9.694760323,0.198604282,-9.150000572,-62.81250381,-48.86250305,-0.014294236,0.004642572,0.038484481,-0.649412072,9.694760323,0.198604282,19.80080272,32,83,18,21
0.48,0.605988353,-0.059224606,0.062377796,-1.478943944,9.693975925,0.099708397,-0.008155045,0.014844014,0.06139191,-0.435063571,-0.512249529,0.559468776,0.485092059,-3.07427597,-1.419062316,-1.601046681,7.800000191,-46.29375076,-32.15625,145.2156463,-0.110977173,996.6378174,-1.17296164,9.626325607,0.051684967,-2.643750191,-61.78125381,-47.45625305,-0.015638138,0.016982041,0.062308207,-1.17296164,9.626325607,0.051684967,19.80186841,32,83,18,21
0.49,-0.201280117,0.41148901,-0.2843499,-1.483929753,9.693281651,0.092665784,-0.031917685,-0.049938194,0.057879438,-0.435670257,-0.512807459,0.559185028,0.484284997,-3.079219937,-1.418595195,-1.603727758,5.662500381,-48.01875305,-35.30625153,143.6744559,,,-1.788036734,9.751350641,-0.490528636,-4.78125,-63.48750305,-50.60625076,-0.039400779,-0.047800169,0.058795735,-1.788036734,9.751350641,-0.490528636,19.78739418,32,83,18,21
0.5,-0.389689147,0.38206768,-0.715098083,-1.494348764,9.691835403,0.07480026,-0.006444623,-0.025961753,0.038667741,-0.435901508,-0.51259616,0.559853226,0.483527929,-3.091571331,-1.417625427,-1.615973413,3.506250143,-45.69375229,-32.83125305,144.302513,,,-2.035334921,9.921121216,-0.574277443,-6.937500477,-61.18125153,-48.13125229,-0.013927717,-0.023823727,0.039584037,-2.035334921,9.921121216,-0.574277443,19.81878339,32,83,18,21
0.51,-0.539378166,0.034386635,0.087265283,-1.510045052,9.689434528,0.070617627,0.013469568,-0.11221586,0.021563527,-0.43527323,-0.512460083,0.560691983,0.483266309,-3.094864368,-1.416029096,-1.620619178,3.356250048,-45.69375229,-30.78750038,146.0287295,,,-2.010569215,9.669994593,0.290727954,-7.087500095,-61.18125153,-46.08750153,0.005986475,-0.110077834,0.022479824,-2.010569215,9.669994593,0.290727954,19.81100531,32,83,18,21
0.52,1.005804062,0.498826981,0.965303123,-1.504680872,9.690185547,0.081315845,-0.050090911,0.033444847,0.045814858,-0.435437977,-0.512984693,0.559967935,0.483400851,-3.087603569,-1.416526675,-1.612072587,4.481250286,-45.26250076,-29.60625076,146.8112575,-0.118896484,996.6385498,-0.962393254,10.27190895,1.231346512,-5.943750381,-60.73125076,-44.90625,-0.057574006,0.035582874,0.046731156,-0.962393254,10.27190895,1.231346512,19.81757996,32,83,18,21
0.53,0.270245135,0.861323357,0.919980675,-1.499770224,9.690877438,0.089237925,-0.12788454,-0.003481929,7.94E-04,-0.435297593,-0.513019085,0.559712768,0.483786106,-3.082162499,-1.416986048,-1.606866956,2.4375,-46.76250076,-33.28125,144.5602343,,,-0.971485996,10.20586739,-0.076570322,-8.006250381,-62.25000381,-48.58125305,-0.135367635,-0.001343903,0.001710421,-0.971485996,10.20586739,-0.076570322,19.81579309,32,83,18,21
0.54,0.445137322,0.278699398,-1.10113591,-1.489754081,9.69260025,0.066734197,-0.032833982,-0.024984369,0.027794348,-0.436336875,-0.512390435,0.559832305,0.483377442,-3.096832991,-1.418136716,-1.620830476,1.650000095,-47.83125305,-34.38750076,144.2863684,,,-1.282552928,9.968498945,-1.262213945,-8.793750763,-63.31875229,-49.68750381,-0.040317076,-0.022846343,0.028710644,-1.282552928,9.968498945,-1.262213945,19.803916,32,83,18,21
0.55,0.073111951,0.369697094,-0.486466922,-1.48906368,9.692813873,0.049212866,0.028405212,-0.047189304,0.021227552,-0.437073842,-0.512195796,0.559979051,0.482747674,-3.108555079,-1.4182809,-1.631522775,5.137500286,-44.53125,-31.38750076,144.8222063,,,-1.41607244,10.20395279,0.224925321,-5.306250095,-60.01875305,-46.6875,0.020922119,-0.045051278,0.022143848,-1.41607244,10.20395279,0.224925321,19.81687497,32,83,18,21
0.56,0.007971764,0.462392807,1.151037812,-1.486848414,9.693052769,0.06608369,-0.016096287,-0.025595234,-0.011056653,-0.436859563,-0.512803763,0.559321374,0.483058512,-3.097174048,-1.418440521,-1.619397461,4.012500286,-44.34375,-31.91250038,144.2588787,-0.163818359,996.6439209,-1.374915886,10.00247746,1.191147101,-6.412500381,-59.83125305,-47.21250153,-0.02357938,-0.023457207,-0.010140355,-1.374915886,10.00247746,1.191147101,19.7835397,32,83,18,21
0.57,0.129574776,0.275503635,0.366878267,-1.479895532,9.694035053,0.077344883,-0.03008509,0.042913251,-0.03375028,-0.436860278,-0.513084561,0.558746696,0.483424678,-3.089376688,-1.419101775,-1.611105621,5.325000286,-49.01250076,-34.74375153,144.6681139,,,-1.391426355,9.954740286,0.142971153,-5.118750095,-64.48125458,-50.04375076,-0.037568184,0.045051278,-0.032833982,-1.391426355,9.954740286,0.142971153,19.78783931,32,83,18,21
0.58,0.181950808,0.214630127,-0.898502827,-1.472364485,9.695271969,0.064916261,-9.16E-05,0.037690357,-0.034636034,-0.437622815,-0.512849689,0.558618724,0.483132005,-3.097534299,-1.419938922,-1.618308723,4.912500381,-46.23750305,-33.15000153,144.3613495,,,-1.299302697,9.894799995,-0.886301517,-5.53125,-61.70625305,-48.45000076,-0.007574723,0.039828383,-0.033719736,-1.299302697,9.894799995,-0.886301517,19.78180909,32,83,18,21
0.59,0.29919219,-0.073619843,-1.030387282,-1.467591763,9.696072578,0.052260417,0.033261587,-0.004825832,-0.008979712,-0.438539386,-0.512926996,0.55832988,0.482552439,-3.105998039,-1.420483589,-1.624901056,5.831250191,-46.65000153,-35.00625229,143.1153658,,,-1.025085235,9.886186028,-0.610169782,-4.59375,-62.13750076,-50.30625153,0.025778494,-0.002687805,-0.008063415,-1.025085235,9.886186028,-0.610169782,19.79301321,32,83,18,21
0.6,0.433270931,0.283375263,-0.135072999,-1.46235013,9.696874142,0.050405679,0.01847866,-0.015577052,0.037415468,-0.438974097,-0.513044149,0.557982802,0.482434064,-3.107136846,-1.421030283,-1.62501657,3.375000238,-47.4375,-34.85625076,143.6922007,-0.158538818,996.6434326,-0.947557747,10.15154982,0.677168809,-7.068750381,-62.92500305,-50.15625381,0.010995566,-0.013439025,0.038331765,-0.947557747,10.15154982,0.677168809,19.79554709,32,83,18,21
0.61,0.371961325,0.687789917,1.115916073,-1.459800899,9.697170258,0.065161649,-0.030879214,-0.014477495,0.088514306,-0.438964456,-0.513745785,0.557220161,0.482577533,-3.096989155,-1.421232045,-1.613552153,5.400000095,-49.33125305,-36.86250305,143.2312817,,,-1.491207075,10.17571754,1.220339561,-5.043750286,-64.8187561,-52.16250229,-0.038362308,-0.012339469,0.089430603,-1.491207075,10.17571754,1.220339561,19.79085396,32,83,18,21
0.62,-0.364381611,0.013486862,0.842540443,-1.472757936,9.695090771,0.081032764,-0.012186752,0.023273948,0.072876168,-0.438149199,-0.514406204,0.55720371,0.482633919,-3.086631894,-1.419816613,-1.603394985,5.71875,-47.85000229,-35.96250153,143.0726703,,,-1.90564394,9.783294296,0.791545737,-4.725000381,-63.31875229,-51.26250076,-0.019669846,0.025411974,0.073792466,-1.90564394,9.783294296,0.791545737,19.8131495,32,83,18,21
0.63,-0.692379713,0.298755646,0.46683763,-1.484621704,9.693214893,0.088662099,-0.047036588,0.037110035,0.002748891,-0.437185302,-0.51436305,0.557785958,0.482881233,-3.081943274,-1.418549895,-1.600554287,3.281250238,-45.80625153,-34.72500229,142.8348035,,,-2.291725934,9.592227697,0.260817673,-7.162500381,-61.29375076,-50.02500153,-0.054519682,0.039248062,0.003665189,-2.291725934,9.592227697,0.260817673,19.79427013,32,83,18,21
0.64,-0.158737421,-0.22085619,-0.138396788,-1.486727774,9.692902088,0.087593816,-9.47E-04,0.063957542,-0.057726721,-0.436710551,-0.513865143,0.558340967,0.483199626,-3.082743406,-1.418339491,-1.603208542,3.637500048,-52.03125381,-40.10625076,142.3745773,-0.044921875,996.6300659,-1.551506209,9.545926857,-0.062691955,-6.806250095,-67.51875305,-55.40625381,-0.008429934,0.066095568,-0.056810426,-1.551506209,9.545926857,-0.062691955,19.79123738,32,83,18,21
0.65,0.236881316,-0.4178195,-0.420168743,-1.481792867,9.693699837,0.082763284,-3.36E-04,0.053695013,-0.030237807,-0.436341271,-0.512897909,0.559004605,0.483793199,-3.085798979,-1.41887629,-1.608866394,7.368750095,-47.68125153,-39.46875,140.3833188,,,-1.244746315,9.306165695,-0.390508652,-3.075000048,-63.15000153,-54.76875305,-0.007819069,0.055833041,-0.029321509,-1.244746315,9.306165695,-0.390508652,19.80170784,32,83,18,21
0.66,0.179717898,-0.624341011,-0.703548014,-1.4787727,9.694229603,0.074295167,0.027794347,4.58E-04,-0.031764968,-0.436123729,-0.51199764,0.559691727,0.484148353,-3.091396451,-1.419233799,-1.616631448,3.675000191,-47.58750153,-37.51875305,141.7471846,,,-1.205384433,9.034700155,-0.664606482,-6.768750191,-63.05625153,-52.81875229,0.020311254,0.002596175,-0.030848671,-1.205384433,9.034700155,-0.664606482,19.78563697,32,83,18,21
